fecha_inicio_semana,semana_iso,iso_year,iso_week,iso_yearweek_num,target_serie_4e,sentimiento_redes_ponderado,sentimiento_medios,v5_agua_neto,v5_alumbrado_neto,v5_americo_neto,v5_basura_neto,v5_corrupcion_neto,v5_delitos_neto,v5_morena_neto,v5_obras_neto,v5_prevencion_neto,v5_vialidad_neto,target_serie_4e_lag1,target_serie_4e_lag2,target_serie_4e_lag3,target_serie_4e_lag4,sentimiento_redes_ponderado_lag1,sentimiento_redes_ponderado_lag2,sentimiento_redes_ponderado_lag3,sentimiento_redes_ponderado_lag4,sentimiento_medios_lag1,sentimiento_medios_lag2,sentimiento_medios_lag3,sentimiento_medios_lag4,v5_agua_neto_lag1,v5_agua_neto_lag2,v5_agua_neto_lag3,v5_agua_neto_lag4,v5_alumbrado_neto_lag1,v5_alumbrado_neto_lag2,v5_alumbrado_neto_lag3,v5_alumbrado_neto_lag4,v5_americo_neto_lag1,v5_americo_neto_lag2,v5_americo_neto_lag3,v5_americo_neto_lag4,v5_basura_neto_lag1,v5_basura_neto_lag2,v5_basura_neto_lag3,v5_basura_neto_lag4,v5_corrupcion_neto_lag1,v5_corrupcion_neto_lag2,v5_corrupcion_neto_lag3,v5_corrupcion_neto_lag4,v5_delitos_neto_lag1,v5_delitos_neto_lag2,v5_delitos_neto_lag3,v5_delitos_neto_lag4,v5_morena_neto_lag1,v5_morena_neto_lag2,v5_morena_neto_lag3,v5_morena_neto_lag4,v5_obras_neto_lag1,v5_obras_neto_lag2,v5_obras_neto_lag3,v5_obras_neto_lag4,v5_prevencion_neto_lag1,v5_prevencion_neto_lag2,v5_prevencion_neto_lag3,v5_prevencion_neto_lag4,v5_vialidad_neto_lag1,v5_vialidad_neto_lag2,v5_vialidad_neto_lag3,v5_vialidad_neto_lag4,iso_week_sin,iso_week_cos,t_index,month,quarter
2024-10-14,2024-W42,2024,42,202442,56.8918784299553,0.281403526684715,0.127340823970038,-1.336,1.0291,4.0404,-4.0225,-2.314,-3.9545,1.6704,4.8333,2.3714,-2.5251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9350162426854148,0.35460488704253557,0,10,4
2024-10-21,2024-W43,2024,43,202443,57.1134201367419,0.259068002112157,0.123300090661831,-1.5621,0.6688,2.2415,-2.1996,-2.6631,-2.5125,2.7664,4.0821,2.0398,-3.3926,56.8918784299553,,,,0.281403526684715,,,,0.127340823970038,,,,-1.336,,,,1.0291,,,,4.0404,,,,-4.0225,,,,-2.314,,,,-3.9545,,,,1.6704,,,,4.8333,,,,2.3714,,,,-2.5251,,,,-0.8854560256532101,0.464723172043768,1,10,4
2024-10-28,2024-W44,2024,44,202444,57.2665726098862,0.169282399166155,0.102310231023102,-1.0305,0.7705,2.6452,-1.538,-4.0297,-3.9053,0.9658,3.3237,0.8081,-2.5546,57.1134201367419,56.8918784299553,,,0.259068002112157,0.281403526684715,,,0.123300090661831,0.127340823970038,,,-1.5621,-1.336,,,0.6688,1.0291,,,2.2415,4.0404,,,-2.1996,-4.0225,,,-2.6631,-2.314,,,-2.5125,-3.9545,,,2.7664,1.6704,,,4.0821,4.8333,,,2.0398,2.3714,,,-3.3926,-2.5251,,,-0.822983865893657,0.5680647467311548,2,10,4
2024-11-04,2024-W45,2024,45,202445,57.3369636322105,0.592941645004367,0.236904761904762,0.4363,0.673,4.439,-1.0634,-2.4478,-2.4039,2.4986,4.9413,1.4015,-2.8681,57.2665726098862,57.1134201367419,56.8918784299553,,0.169282399166155,0.259068002112157,0.281403526684715,,0.102310231023102,0.123300090661831,0.127340823970038,,-1.0305,-1.5621,-1.336,,0.7705,0.6688,1.0291,,2.6452,2.2415,4.0404,,-1.538,-2.1996,-4.0225,,-4.0297,-2.6631,-2.314,,-3.9053,-2.5125,-3.9545,,0.9658,2.7664,1.6704,,3.3237,4.0821,4.8333,,0.8081,2.0398,2.3714,,-2.5546,-3.3926,-2.5251,,-0.7485107481711011,0.6631226582407952,3,11,4
2024-11-11,2024-W46,2024,46,202446,57.3567782123672,0.259232586434294,0.158081705150977,-1.7806,0.2606,2.3376,-1.9926,-4.2169,-4.1719,-1.0746,3.63,2.8221,-3.6514,57.3369636322105,57.2665726098862,57.1134201367419,56.8918784299553,0.592941645004367,0.169282399166155,0.259068002112157,0.281403526684715,0.236904761904762,0.102310231023102,0.123300090661831,0.127340823970038,0.4363,-1.0305,-1.5621,-1.336,0.673,0.7705,0.6688,1.0291,4.439,2.6452,2.2415,4.0404,-1.0634,-1.538,-2.1996,-4.0225,-2.4478,-4.0297,-2.6631,-2.314,-2.4039,-3.9053,-2.5125,-3.9545,2.4986,0.9658,2.7664,1.6704,4.9413,3.3237,4.0821,4.8333,1.4015,0.8081,2.0398,2.3714,-2.8681,-2.5546,-3.3926,-2.5251,-0.6631226582407955,0.7485107481711007,4,11,4
2024-11-18,2024-W47,2024,47,202447,57.3162048891659,0.176955311288159,0.232750689972401,-1.6505,0.7968,2.5805,-2.1658,-3.084,-4.0435,-2.104,3.7706,1.6493,-3.2234,57.3567782123672,57.3369636322105,57.2665726098862,57.1134201367419,0.259232586434294,0.592941645004367,0.169282399166155,0.259068002112157,0.158081705150977,0.236904761904762,0.102310231023102,0.123300090661831,-1.7806,0.4363,-1.0305,-1.5621,0.2606,0.673,0.7705,0.6688,2.3376,4.439,2.6452,2.2415,-1.9926,-1.0634,-1.538,-2.1996,-4.2169,-2.4478,-4.0297,-2.6631,-4.1719,-2.4039,-3.9053,-2.5125,-1.0746,2.4986,0.9658,2.7664,3.63,4.9413,3.3237,4.0821,2.8221,1.4015,0.8081,2.0398,-3.6514,-2.8681,-2.5546,-3.3926,-0.5680647467311559,0.8229838658936564,5,11,4
2024-11-25,2024-W48,2024,48,202448,56.9728326479835,0.234195384192454,0.233055885850178,-1.1832,0.8478,1.3918,-1.7419,-3.9504,-2.8806,-2.8588,3.8413,1.0094,-2.5373,57.3162048891659,57.3567782123672,57.3369636322105,57.2665726098862,0.176955311288159,0.259232586434294,0.592941645004367,0.169282399166155,0.232750689972401,0.158081705150977,0.236904761904762,0.102310231023102,-1.6505,-1.7806,0.4363,-1.0305,0.7968,0.2606,0.673,0.7705,2.5805,2.3376,4.439,2.6452,-2.1658,-1.9926,-1.0634,-1.538,-3.084,-4.2169,-2.4478,-4.0297,-4.0435,-4.1719,-2.4039,-3.9053,-2.104,-1.0746,2.4986,0.9658,3.7706,3.63,4.9413,3.3237,1.6493,2.8221,1.4015,0.8081,-3.2234,-3.6514,-2.8681,-2.5546,-0.4647231720437684,0.88545602565321,6,11,4
2024-12-02,2024-W49,2024,49,202449,56.4677828941367,0.346915345417234,0.305402425578831,-0.832,1.1654,1.9736,-1.6445,-4.8773,-5.3242,-3.8264,3.3075,0.3953,-2.5486,56.9728326479835,57.3162048891659,57.3567782123672,57.3369636322105,0.234195384192454,0.176955311288159,0.259232586434294,0.592941645004367,0.233055885850178,0.232750689972401,0.158081705150977,0.236904761904762,-1.1832,-1.6505,-1.7806,0.4363,0.8478,0.7968,0.2606,0.673,1.3918,2.5805,2.3376,4.439,-1.7419,-2.1658,-1.9926,-1.0634,-3.9504,-3.084,-4.2169,-2.4478,-2.8806,-4.0435,-4.1719,-2.4039,-2.8588,-2.104,-1.0746,2.4986,3.8413,3.7706,3.63,4.9413,1.0094,1.6493,2.8221,1.4015,-2.5373,-3.2234,-3.6514,-2.8681,-0.35460488704253595,0.9350162426854147,7,12,4
2024-12-09,2024-W50,2024,50,202450,56.0274041453556,0.164842223269489,0.0689655172413793,-1.3861,0.7753,2.0916,-3.3406,-2.0648,-1.4562,0.5686,3.007,-3.165,-3.9891,56.4677828941367,56.9728326479835,57.3162048891659,57.3567782123672,0.346915345417234,0.234195384192454,0.176955311288159,0.259232586434294,0.305402425578831,0.233055885850178,0.232750689972401,0.158081705150977,-0.832,-1.1832,-1.6505,-1.7806,1.1654,0.8478,0.7968,0.2606,1.9736,1.3918,2.5805,2.3376,-1.6445,-1.7419,-2.1658,-1.9926,-4.8773,-3.9504,-3.084,-4.2169,-5.3242,-2.8806,-4.0435,-4.1719,-3.8264,-2.8588,-2.104,-1.0746,3.3075,3.8413,3.7706,3.63,0.3953,1.0094,1.6493,2.8221,-2.5486,-2.5373,-3.2234,-3.6514,-0.2393156642875578,0.970941817426052,8,12,4
2024-12-16,2024-W51,2024,51,202451,55.8761516699853,0.410324001061249,0.104863221884499,-1.4296,0.3548,2.3299,-2.3073,-2.5178,-2.5747,-2.8165,3.0366,0.9754,-3.7324,56.0274041453556,56.4677828941367,56.9728326479835,57.3162048891659,0.164842223269489,0.346915345417234,0.234195384192454,0.176955311288159,0.0689655172413793,0.305402425578831,0.233055885850178,0.232750689972401,-1.3861,-0.832,-1.1832,-1.6505,0.7753,1.1654,0.8478,0.7968,2.0916,1.9736,1.3918,2.5805,-3.3406,-1.6445,-1.7419,-2.1658,-2.0648,-4.8773,-3.9504,-3.084,-1.4562,-5.3242,-2.8806,-4.0435,0.5686,-3.8264,-2.8588,-2.104,3.007,3.3075,3.8413,3.7706,-3.165,0.3953,1.0094,1.6493,-3.9891,-2.5486,-2.5373,-3.2234,-0.12053668025532363,0.992708874098054,9,12,4
2024-12-23,2024-W52,2024,52,202452,56.0505897171307,0.23236087575418,0.140495867768595,-0.5985,-0.0025,2.7719,-3.1691,-2.7212,-3.1069,0.7708,3.3386,0.7136,-2.9751,55.8761516699853,56.0274041453556,56.4677828941367,56.9728326479835,0.410324001061249,0.164842223269489,0.346915345417234,0.234195384192454,0.104863221884499,0.0689655172413793,0.305402425578831,0.233055885850178,-1.4296,-1.3861,-0.832,-1.1832,0.3548,0.7753,1.1654,0.8478,2.3299,2.0916,1.9736,1.3918,-2.3073,-3.3406,-1.6445,-1.7419,-2.5178,-2.0648,-4.8773,-3.9504,-2.5747,-1.4562,-5.3242,-2.8806,-2.8165,0.5686,-3.8264,-2.8588,3.0366,3.007,3.3075,3.8413,0.9754,-3.165,0.3953,1.0094,-3.7324,-3.9891,-2.5486,-2.5373,6.432490598706546e-16,1.0,10,12,4
2024-12-30,2025-W01,2025,1,202501,56.4094038503692,0.0353219880133694,0.134059331580924,-1.6312,-0.6034,3.2212,-1.5508,-4.9935,-5.0542,-3.4447,2.8247,0.4358,-3.1046,56.0505897171307,55.8761516699853,56.0274041453556,56.4677828941367,0.23236087575418,0.410324001061249,0.164842223269489,0.346915345417234,0.140495867768595,0.104863221884499,0.0689655172413793,0.305402425578831,-0.5985,-1.4296,-1.3861,-0.832,-0.0025,0.3548,0.7753,1.1654,2.7719,2.3299,2.0916,1.9736,-3.1691,-2.3073,-3.3406,-1.6445,-2.7212,-2.5178,-2.0648,-4.8773,-3.1069,-2.5747,-1.4562,-5.3242,0.7708,-2.8165,0.5686,-3.8264,3.3386,3.0366,3.007,3.3075,0.7136,0.9754,-3.165,0.3953,-2.9751,-3.7324,-3.9891,-2.5486,0.12053668025532305,0.992708874098054,11,12,4
2025-01-06,2025-W02,2025,2,202502,56.8376450795668,-0.0694184937993123,0.104826546003017,-0.6668,0.4765,4.1465,-3.1868,-4.8153,-5.0305,-3.2172,4.579,1.0437,-2.9483,56.4094038503692,56.0505897171307,55.8761516699853,56.0274041453556,0.0353219880133694,0.23236087575418,0.410324001061249,0.164842223269489,0.134059331580924,0.140495867768595,0.104863221884499,0.0689655172413793,-1.6312,-0.5985,-1.4296,-1.3861,-0.6034,-0.0025,0.3548,0.7753,3.2212,2.7719,2.3299,2.0916,-1.5508,-3.1691,-2.3073,-3.3406,-4.9935,-2.7212,-2.5178,-2.0648,-5.0542,-3.1069,-2.5747,-1.4562,-3.4447,0.7708,-2.8165,0.5686,2.8247,3.3386,3.0366,3.007,0.4358,0.7136,0.9754,-3.165,-3.1046,-2.9751,-3.7324,-3.9891,0.23931566428755774,0.970941817426052,12,1,1
2025-01-13,2025-W03,2025,3,202503,57.2203644145897,0.036855852762635,0.139051678209909,-1.916,0.2783,2.4146,-2.5479,-4.3777,-4.3228,-2.4463,3.6142,-0.8688,-3.2791,56.8376450795668,56.4094038503692,56.0505897171307,55.8761516699853,-0.0694184937993123,0.0353219880133694,0.23236087575418,0.410324001061249,0.104826546003017,0.134059331580924,0.140495867768595,0.104863221884499,-0.6668,-1.6312,-0.5985,-1.4296,0.4765,-0.6034,-0.0025,0.3548,4.1465,3.2212,2.7719,2.3299,-3.1868,-1.5508,-3.1691,-2.3073,-4.8153,-4.9935,-2.7212,-2.5178,-5.0305,-5.0542,-3.1069,-2.5747,-3.2172,-3.4447,0.7708,-2.8165,4.579,2.8247,3.3386,3.0366,1.0437,0.4358,0.7136,0.9754,-2.9483,-3.1046,-2.9751,-3.7324,0.3546048870425356,0.9350162426854148,13,1,1
2025-01-20,2025-W04,2025,4,202504,57.5134610974377,0.105245523742359,0.0286532951289398,-1.2038,-0.0647,2.5335,-1.6319,-3.5982,-3.6858,0.8968,3.3757,-0.1293,-2.9775,57.2203644145897,56.8376450795668,56.4094038503692,56.0505897171307,0.036855852762635,-0.0694184937993123,0.0353219880133694,0.23236087575418,0.139051678209909,0.104826546003017,0.134059331580924,0.140495867768595,-1.916,-0.6668,-1.6312,-0.5985,0.2783,0.4765,-0.6034,-0.0025,2.4146,4.1465,3.2212,2.7719,-2.5479,-3.1868,-1.5508,-3.1691,-4.3777,-4.8153,-4.9935,-2.7212,-4.3228,-5.0305,-5.0542,-3.1069,-2.4463,-3.2172,-3.4447,0.7708,3.6142,4.579,2.8247,3.3386,-0.8688,1.0437,0.4358,0.7136,-3.2791,-2.9483,-3.1046,-2.9751,0.4647231720437685,0.8854560256532099,14,1,1
2025-01-27,2025-W05,2025,5,202505,57.8245184193639,0.257041871551968,0.126686983021332,-0.9255,0.1116,1.8357,-1.5791,-3.1546,-3.5429,0.0968,3.3826,0.8625,-3.034,57.5134610974377,57.2203644145897,56.8376450795668,56.4094038503692,0.105245523742359,0.036855852762635,-0.0694184937993123,0.0353219880133694,0.0286532951289398,0.139051678209909,0.104826546003017,0.134059331580924,-1.2038,-1.916,-0.6668,-1.6312,-0.0647,0.2783,0.4765,-0.6034,2.5335,2.4146,4.1465,3.2212,-1.6319,-2.5479,-3.1868,-1.5508,-3.5982,-4.3777,-4.8153,-4.9935,-3.6858,-4.3228,-5.0305,-5.0542,0.8968,-2.4463,-3.2172,-3.4447,3.3757,3.6142,4.579,2.8247,-0.1293,-0.8688,1.0437,0.4358,-2.9775,-3.2791,-2.9483,-3.1046,0.5680647467311558,0.8229838658936564,15,1,1
2025-02-03,2025-W06,2025,6,202506,58.1042803060043,0.1062138347911,0.232198142414861,-1.5394,0.5584,2.3314,-2.6257,-3.3508,-3.9967,1.0017,3.3727,0.393,-4.0213,57.8245184193639,57.5134610974377,57.2203644145897,56.8376450795668,0.257041871551968,0.105245523742359,0.036855852762635,-0.0694184937993123,0.126686983021332,0.0286532951289398,0.139051678209909,0.104826546003017,-0.9255,-1.2038,-1.916,-0.6668,0.1116,-0.0647,0.2783,0.4765,1.8357,2.5335,2.4146,4.1465,-1.5791,-1.6319,-2.5479,-3.1868,-3.1546,-3.5982,-4.3777,-4.8153,-3.5429,-3.6858,-4.3228,-5.0305,0.0968,0.8968,-2.4463,-3.2172,3.3826,3.3757,3.6142,4.579,0.8625,-0.1293,-0.8688,1.0437,-3.034,-2.9775,-3.2791,-2.9483,0.6631226582407952,0.7485107481711011,16,2,1
2025-02-10,2025-W07,2025,7,202507,58.2929047203171,-0.0267798297285953,0.17280701754386,-1.4344,0.661,1.9418,-2.0593,-3.8567,-4.0078,-0.0273,3.466,0.6906,-2.7876,58.1042803060043,57.8245184193639,57.5134610974377,57.2203644145897,0.1062138347911,0.257041871551968,0.105245523742359,0.036855852762635,0.232198142414861,0.126686983021332,0.0286532951289398,0.139051678209909,-1.5394,-0.9255,-1.2038,-1.916,0.5584,0.1116,-0.0647,0.2783,2.3314,1.8357,2.5335,2.4146,-2.6257,-1.5791,-1.6319,-2.5479,-3.3508,-3.1546,-3.5982,-4.3777,-3.9967,-3.5429,-3.6858,-4.3228,1.0017,0.0968,0.8968,-2.4463,3.3727,3.3826,3.3757,3.6142,0.393,0.8625,-0.1293,-0.8688,-4.0213,-3.034,-2.9775,-3.2791,0.7485107481711011,0.6631226582407953,17,2,1
2025-02-17,2025-W08,2025,8,202508,58.3186185874457,0.0321990593134864,0.0549084858569052,-1.6518,0.9543,2.5716,-2.098,-4.4858,-4.2398,-1.1037,3.4405,-0.0772,-3.0521,58.2929047203171,58.1042803060043,57.8245184193639,57.5134610974377,-0.0267798297285953,0.1062138347911,0.257041871551968,0.105245523742359,0.17280701754386,0.232198142414861,0.126686983021332,0.0286532951289398,-1.4344,-1.5394,-0.9255,-1.2038,0.661,0.5584,0.1116,-0.0647,1.9418,2.3314,1.8357,2.5335,-2.0593,-2.6257,-1.5791,-1.6319,-3.8567,-3.3508,-3.1546,-3.5982,-4.0078,-3.9967,-3.5429,-3.6858,-0.0273,1.0017,0.0968,0.8968,3.466,3.3727,3.3826,3.3757,0.6906,0.393,0.8625,-0.1293,-2.7876,-4.0213,-3.034,-2.9775,0.8229838658936564,0.5680647467311559,18,2,1
2025-02-24,2025-W09,2025,9,202509,58.0033822967742,0.224333841286292,0.166338582677165,-2.4014,0.409,3.0739,-4.4295,-3.371,-2.8242,-0.6575,3.1822,-1.5652,-3.3561,58.3186185874457,58.2929047203171,58.1042803060043,57.8245184193639,0.0321990593134864,-0.0267798297285953,0.1062138347911,0.257041871551968,0.0549084858569052,0.17280701754386,0.232198142414861,0.126686983021332,-1.6518,-1.4344,-1.5394,-0.9255,0.9543,0.661,0.5584,0.1116,2.5716,1.9418,2.3314,1.8357,-2.098,-2.0593,-2.6257,-1.5791,-4.4858,-3.8567,-3.3508,-3.1546,-4.2398,-4.0078,-3.9967,-3.5429,-1.1037,-0.0273,1.0017,0.0968,3.4405,3.466,3.3727,3.3826,-0.0772,0.6906,0.393,0.8625,-3.0521,-2.7876,-4.0213,-3.034,0.8854560256532099,0.4647231720437686,19,2,1
2025-03-03,2025-W10,2025,10,202510,57.5037459474926,0.204008068771556,0.206509539842873,-0.9297,0.046,2.4819,-2.4249,-3.8502,-4.0724,-2.2769,3.1772,0.5159,-3.1587,58.0033822967742,58.3186185874457,58.2929047203171,58.1042803060043,0.224333841286292,0.0321990593134864,-0.0267798297285953,0.1062138347911,0.166338582677165,0.0549084858569052,0.17280701754386,0.232198142414861,-2.4014,-1.6518,-1.4344,-1.5394,0.409,0.9543,0.661,0.5584,3.0739,2.5716,1.9418,2.3314,-4.4295,-2.098,-2.0593,-2.6257,-3.371,-4.4858,-3.8567,-3.3508,-2.8242,-4.2398,-4.0078,-3.9967,-0.6575,-1.1037,-0.0273,1.0017,3.1822,3.4405,3.466,3.3727,-1.5652,-0.0772,0.6906,0.393,-3.3561,-3.0521,-2.7876,-4.0213,0.9350162426854148,0.35460488704253557,20,3,1
2025-03-10,2025-W11,2025,11,202511,57.0778696216551,0.101508088978149,0.137367915465898,-0.8526,-0.0541,2.1156,-1.8461,-2.9074,-4.034,-1.9037,2.6914,-0.2222,-2.8863,57.5037459474926,58.0033822967742,58.3186185874457,58.2929047203171,0.204008068771556,0.224333841286292,0.0321990593134864,-0.0267798297285953,0.206509539842873,0.166338582677165,0.0549084858569052,0.17280701754386,-0.9297,-2.4014,-1.6518,-1.4344,0.046,0.409,0.9543,0.661,2.4819,3.0739,2.5716,1.9418,-2.4249,-4.4295,-2.098,-2.0593,-3.8502,-3.371,-4.4858,-3.8567,-4.0724,-2.8242,-4.2398,-4.0078,-2.2769,-0.6575,-1.1037,-0.0273,3.1772,3.1822,3.4405,3.466,0.5159,-1.5652,-0.0772,0.6906,-3.1587,-3.3561,-3.0521,-2.7876,0.970941817426052,0.23931566428755804,21,3,1
2025-03-17,2025-W12,2025,12,202512,56.9667398492273,-0.0534885806271719,0.192166462668299,-2.3366,0.0671,4.54,-4.0813,-5.1043,-4.4412,-3.8346,3.8642,-2.6611,-5.0794,57.0778696216551,57.5037459474926,58.0033822967742,58.3186185874457,0.101508088978149,0.204008068771556,0.224333841286292,0.0321990593134864,0.137367915465898,0.206509539842873,0.166338582677165,0.0549084858569052,-0.8526,-0.9297,-2.4014,-1.6518,-0.0541,0.046,0.409,0.9543,2.1156,2.4819,3.0739,2.5716,-1.8461,-2.4249,-4.4295,-2.098,-2.9074,-3.8502,-3.371,-4.4858,-4.034,-4.0724,-2.8242,-4.2398,-1.9037,-2.2769,-0.6575,-1.1037,2.6914,3.1772,3.1822,3.4405,-0.2222,0.5159,-1.5652,-0.0772,-2.8863,-3.1587,-3.3561,-3.0521,0.992708874098054,0.120536680255323,22,3,1
2025-03-24,2025-W13,2025,13,202513,57.0542874750367,0.130173199310947,0.121758241758242,-2.3188,0.2611,2.0626,-2.0921,-4.3181,-3.7915,-1.2812,2.8317,-1.4482,-3.1831,56.9667398492273,57.0778696216551,57.5037459474926,58.0033822967742,-0.0534885806271719,0.101508088978149,0.204008068771556,0.224333841286292,0.192166462668299,0.137367915465898,0.206509539842873,0.166338582677165,-2.3366,-0.8526,-0.9297,-2.4014,0.0671,-0.0541,0.046,0.409,4.54,2.1156,2.4819,3.0739,-4.0813,-1.8461,-2.4249,-4.4295,-5.1043,-2.9074,-3.8502,-3.371,-4.4412,-4.034,-4.0724,-2.8242,-3.8346,-1.9037,-2.2769,-0.6575,3.8642,2.6914,3.1772,3.1822,-2.6611,-0.2222,0.5159,-1.5652,-5.0794,-2.8863,-3.1587,-3.3561,1.0,-1.6081226496766364e-16,23,3,1
