run_id,family_code,family_group,model,status_canonico,L_total_Radar,estado_familia_vigente,constructo_run,rol_funcional_familia,justificacion_breve
C1_v1_clean,C1,clasificacion_random_forest,random_forest_classifier,canonico_completo,,evaluada y pausada tempranamente,baseline prudente de clasificacion,clasificacion bagging base,"Primera apertura real de clasificacion; sirve como antecedente metodologico, pero no dejo senal util por colapso del target."
C1_v2_clean,C1,clasificacion_random_forest,random_forest_classifier,canonico_completo,,evaluada y pausada tempranamente,control parsimonioso de clasificacion,clasificacion bagging base,Variante mas contenida dentro de C1; confirma que el problema era el target y no solo la complejidad del clasificador.
C1_v3_clean,C1,clasificacion_random_forest,random_forest_classifier,canonico_completo,,evaluada y pausada tempranamente,control flexible de clasificacion,clasificacion bagging base,Variante mas flexible de C1; tampoco rompe el colapso a clase unica y cierra la rama temprana.
C2_v1_clean,C2,clasificacion_xgboost,xgboost_classifier,canonico_completo,,evaluada y pausada tempranamente,baseline prudente de clasificacion boosting,clasificacion boosting,Primera apertura real de XGBoost multiclase; replica el mismo colapso a clase unica observado en C1.
C2_v2_clean,C2,clasificacion_xgboost,xgboost_classifier,canonico_completo,,evaluada y pausada tempranamente,control parsimonioso de boosting de clasificacion,clasificacion boosting,Variante mas regularizada dentro de C2; confirma que el problema sigue siendo el target y no la capacidad del booster.
C2_v3_clean,C2,clasificacion_xgboost,xgboost_classifier,canonico_completo,,evaluada y pausada tempranamente,control flexible de boosting de clasificacion,clasificacion boosting,Variante algo mas flexible de C2; tampoco rompe el colapso y cierra la familia tempranamente.
E10_v1_clean,E10,gating_contextual,meta_selector_hard_logistic_regression,canonico_completo,0.2712202353073486,cerrada para promocion,selector contextual duro cerrado para promocion,antecedente metodologico de seleccion contextual,"Primera corrida canonica de gating contextual; metodologicamente limpia, pero no competitiva y cerrada para promocion bajo la formulacion actual."
E11_v1_clean,E11,arquitectura_dual_controlada,dual_parallel,canonico_completo,0.2434417610666145,evaluada sin promocion,apertura dual paralela,apertura dual numerica + categorica,"Primera apertura dual controlada; conserva exactamente el bloque numerico de E1_v5_clean, pero la capa ternaria de direccion sigue casi colapsada a estabilidad."
E11_v2_clean,E11,arquitectura_dual_controlada,dual_fall_detector,canonico_completo,0.2434417610666145,evaluada sin promocion,mejor apertura dual con detector de caidas,apertura dual numerica + categorica,"Mantiene el benchmark numerico de E1_v5_clean y agrega una capa binaria de caidas con senal real, aunque todavia insuficiente para desplazar a E9_v2_clean."
E11_v3_clean,E11,arquitectura_dual_controlada,dual_residual_dual,canonico_completo,0.2438448642603682,evaluada sin promocion,control residual dual no ganador,apertura dual numerica + categorica,Prueba residual dual metodologicamente limpia; agrega complejidad y no mejora el global frente a E1_v5_clean.
E12_v1_clean,E12,representacion_enriquecida,ridge_representacion,canonico_completo,0.2537323291723951,evaluada sin promocion,baseline de representacion minima no ganador,representacion enriquecida por horizonte,Primera apertura de representacion enriquecida con bloque parsimonioso; no captura la mejora esperada en H1 y queda por detras de E1_v5_clean y E9_v2_clean.
E12_v2_clean,E12,representacion_enriquecida,ridge_representacion,canonico_completo,0.2529476282223642,evaluada sin promocion,representacion ampliada de diversidad no ganadora,representacion enriquecida por horizonte,Amplia el bloque de representacion con mas diversidad entre familias base; agrega complejidad sin mejora defendible frente a los benchmarks vigentes.
E12_v3_clean,E12,representacion_enriquecida,ridge_representacion,canonico_completo,0.2441204556311083,evaluada sin promocion,control de desacuerdo puro con hallazgo parcial,representacion enriquecida por horizonte,"Aisla senales de desacuerdo entre bases sin bloque de regimen; es la mejor variante interna de E12, pero sigue sin superar a E1_v5_clean ni a E9_v2_clean."
E1_1_v1_bayesian_base,E1.1,lineal_regularizado,bayesian_ridge,canonico_completo,0.26494553341851,,micro-rama tactica bayesiana,,Verificacion corta para probar margen lineal adicional; no altero el cierre principal de E1.
E1_v1,E1,lineal_regularizado,RidgeCV,canonico_completo,0.261061299229139,cerrada,baseline historico retrointegrado,referente numerico puro,Run historico recuperado para trazabilidad y comparacion retrospectiva; no gobierna la lectura vigente.
E1_v2,E1,lineal_regularizado,RidgeCV,canonico_completo,0.261061299229139,cerrada,baseline historico documentado,referente numerico puro,Version historica previa al cierre limpio; sirve como antecedente de la evolucion de Ridge.
E1_v2_clean,E1,lineal_regularizado,ridge_tscv,canonico_completo,0.2612386698909632,cerrada,baseline Ridge limpio historico,referente numerico puro,"Primera referencia limpia reconstruida de Ridge; importante como antecedente comparativo, pero superada por E1_v4 y E1_v5."
E1_v3_clean,E1,lineal_regularizado,ridge_tscv,canonico_completo,0.3980475726547684,cerrada,hipotesis delta descartada,referente numerico puro,Control sobre target delta; su deterioro ayudo a cerrar la via de Ridge en nivel como direccion preferible.
E1_v4_clean,E1,lineal_regularizado,ridge_tscv,canonico_completo,0.2532774442495118,cerrada,referencia parsimoniosa vigente,referente numerico puro,Run equilibrado y mas simple dentro de E1; conserva valor canonico aunque no sea el campeon global.
E1_v5_clean,E1,lineal_regularizado,ridge_tscv,canonico_completo,0.2434417610666145,cerrada,campeon numerico puro vigente,referente numerico puro,Mejor referente actual para pronostico numerico puro del Radar.
E1_v5_operativo_rebuild_v2,E1,lineal_regularizado,ridge_tscv,canonico_completo,0.2434417610666145,cerrada,run documentado,referente numerico puro,"Run registrado con trazabilidad suficiente, pero sin un constructo especifico adicional."
E2_v1_clean,E2,robusto,huber_tscv,canonico_completo,0.3019073236793116,cerrada,baseline robusto limpio,referencia robusta,Primera apertura Huber bajo el marco limpio; fija el punto de partida de la familia robusta.
E2_v2_clean,E2,robusto,huber_tscv,canonico_completo,0.3019203219833318,cerrada,control de convergencia,referencia robusta,Sirve para descartar que el desempeno de Huber se explicara por optimizacion incompleta.
E2_v3_clean,E2,robusto,huber_tscv,canonico_completo,0.2864645117875421,cerrada,campeon interno de familia cerrada,referencia robusta,"Mejor Huber interno; conserva valor historico como referencia robusta, pero no reabre la familia."
E3_v1_clean,E3,arboles_boosting,random_forest_regressor,canonico_completo,0.2808923211670988,cerrada en rama base,baseline no lineal bagging,referencia no lineal base,Primera apertura no lineal util de bagging; demuestra que la no linealidad si agrega senal.
E3_v2_clean,E3,arboles_boosting,random_forest_regressor,canonico_completo,0.2663866980744075,cerrada en rama base,campeon bagging vigente,referencia no lineal base,Mejor referencia bagging cerrada; sigue aportando diversidad real frente a lineales y boosting.
E3_v3_clean,E3,arboles_boosting,extra_trees_regressor,canonico_completo,0.2872893466271498,cerrada en rama base,variante extra trees descartada,referencia no lineal base,Prueba de flexibilidad adicional que no justifico expansion dentro de E3.
E4_v1_clean,E4,arboles_boosting,xgboost_regressor,canonico_completo,0.2839341113264429,cerrada,campeon boosting historico,boosting historico,"Mejor run interno de XGBoost; se conserva como referencia secundaria, no como linea vigente."
E4_v2_clean,E4,arboles_boosting,xgboost_regressor,canonico_completo,0.2973425926212152,cerrada,variante parsimoniosa descartada,boosting historico,Control corr vs all dentro de boosting; no mejoro al baseline de la familia.
E4_v3_clean,E4,arboles_boosting,xgboost_regressor,canonico_completo,0.4247743104980723,cerrada,variante delta descartada,boosting historico,Control target delta dentro de boosting; deterioro fuerte que ayudo a cerrar E4.
E5_v1_clean,E5,arboles_boosting,catboost_regressor,canonico_completo,0.2552591894544091,abierta madura,baseline catboost,mejor no lineal tabular,Primera apertura de CatBoost bajo el marco limpio; punto de partida de la familia tabular dominante.
E5_v2_clean,E5,arboles_boosting,catboost_regressor,canonico_completo,0.2618185352281958,abierta madura,control corr_vs_all catboost,mejor no lineal tabular,Prueba focal del universo exogeno en CatBoost; quedo dominada por E5_v4.
E5_v3_clean,E5,arboles_boosting,catboost_regressor,canonico_completo,0.2613186266534276,abierta madura,control de profundidad catboost,mejor no lineal tabular,Ajuste acotado de complejidad en CatBoost; no mejoro al campeon interno.
E5_v4_clean,E5,arboles_boosting,catboost_regressor,canonico_completo,0.2477879377205662,abierta madura,campeon no lineal tabular vigente,mejor no lineal tabular,Mejor run no lineal tabular del proyecto y referencia competitiva central.
E5_v5_clean,E5,arboles_boosting,catboost_regressor,canonico_completo,0.2644266343784683,abierta madura,tuning focal dominado,mejor no lineal tabular,"Segunda ola de tuning acotado; util para cierre interno, pero superada por E5_v4."
E6_v1_clean,E6,series_tiempo_exogenas,sarimax_regressor,canonico_completo,0.3703183972542414,debilitada,campeon interno debilitado,referencia temporal estructurada debil,"Mejor ARIMAX interno, aunque claramente no competitivo; conserva valor solo como referencia temporal debil."
E6_v2_clean,E6,series_tiempo_exogenas,sarimax_regressor,canonico_completo,0.4457690443532661,debilitada,control amplitud exogena descartado,referencia temporal estructurada debil,Prueba de amplitud exogena en ARIMAX; empeoro y debilito aun mas a la familia.
E7_v1_clean,E7,series_tiempo_exogenas,prophet_exogenous_regressor,canonico_completo,0.3255019750760202,intermedia,baseline temporal parsimonioso,referencia temporal con changepoints,Apertura limpia de Prophet con exogenas parsimoniosas; prueba que la familia mejora a E6.
E7_v2_clean,E7,series_tiempo_exogenas,prophet_exogenous_regressor,canonico_completo,0.6819919935137326,intermedia,variante all colapsada,referencia temporal con changepoints,Control de amplitud exogena en Prophet; colapso numerico que refuerza la parsimonia.
E7_v3_clean,E7,series_tiempo_exogenas,prophet_exogenous_regressor,canonico_completo,0.321327838487649,intermedia,campeon temporal secundario,referencia temporal con changepoints,Mejor Prophet interno; aporta sesgo temporal estructurado sin entrar al bloque principal.
E8_v1_clean,E8,hibrido_residual,hybrid_residual_ridge_tscv_catboost_regressor,canonico_completo,0.3364815593128823,intermedia,hibrido residual inicial,hibrido residual auditable,"Primera apertura residual limpia; valida la arquitectura, pero no la vuelve competitiva."
E8_v2_clean,E8,hibrido_residual,hybrid_residual_catboost_regressor_ridge_tscv,canonico_completo,0.2857208904369485,intermedia,campeon hibrido residual,hibrido residual auditable,"Mejor residual interno y referencia de la familia hibrida, aunque no supera a sus mejores bases."
E8_v3_clean,E8,hibrido_residual,hybrid_residual_catboost_regressor_prophet_exogenous_regressor,canonico_completo,0.6277552922651639,intermedia,variante prophet residual colapsada,hibrido residual auditable,Prueba temporal residual sobre CatBoost que no funciono y cerro esa direccion.
E9_smoke_tmp,E9,stacking_controlado,stacking_ridge_curado_por_horizonte,canonico_parcial,0.07934166609971609,pausada util,smoke tecnico no canonico,referente riesgo-direccion-caidas,Corrida tecnica de integracion para E9; no debe leerse como evidencia comparativa final.
E9_v1_clean,E9,stacking_controlado,stacking_ridge_curado_por_horizonte,canonico_completo,0.2684745612625059,pausada util,baseline stacking clasico ridge,referente riesgo-direccion-caidas,Primera corrida operativa de stacking controlado; deja una mejora parcial localizada pero no gana el global.
E9_v2_clean,E9,stacking_controlado,stacking_huber_curado_por_horizonte,canonico_completo,0.2275096201736237,pausada util,campeon riesgo-direccion-caidas,referente riesgo-direccion-caidas,"Mejor referente actual de riesgo, direccion y deteccion de caidas dentro del Radar."
E9_v2_operativo_rebuild,E9,stacking_controlado,stacking_huber_curado_por_horizonte,canonico_completo,0.2275096201736237,pausada util,run documentado,referente riesgo-direccion-caidas,"Run registrado con trazabilidad suficiente, pero sin un constructo especifico adicional."
