horizonte_sem,outer_fold_index,column_name,reason,non_null_train_count,nunique_train_non_null
1,1,fila_completa_modelos_incluidos,zero_variance_in_train,12,1
1,1,ctx_semana_iso,all_nan_in_train,0,0
1,1,hist_abs_error_mean4_E9_v2_clean,all_nan_in_train,0,0
1,1,hist_caida_hit_mean4_E9_v2_clean,all_nan_in_train,0,0
1,1,hist_dir_acc_mean4_E9_v2_clean,all_nan_in_train,0,0
1,1,hist_loss_local_mean4_E9_v2_clean,all_nan_in_train,0,0
1,1,caida_pred_E9_v2_clean,all_nan_in_train,0,0
1,1,direccion_pred_E9_v2_clean,all_nan_in_train,0,0
1,1,pred_E9_v2_clean,all_nan_in_train,0,0
1,1,pred_disponible_E2_v3_clean,zero_variance_in_train,12,1
1,1,pred_disponible_E9_v2_clean,zero_variance_in_train,12,1
1,2,fila_completa_modelos_incluidos,zero_variance_in_train,13,1
1,2,ctx_semana_iso,all_nan_in_train,0,0
1,2,hist_abs_error_mean4_E9_v2_clean,all_nan_in_train,0,0
1,2,hist_caida_hit_mean4_E9_v2_clean,all_nan_in_train,0,0
1,2,hist_dir_acc_mean4_E9_v2_clean,all_nan_in_train,0,0
1,2,hist_loss_local_mean4_E9_v2_clean,all_nan_in_train,0,0
1,2,caida_pred_E9_v2_clean,all_nan_in_train,0,0
1,2,direccion_pred_E9_v2_clean,all_nan_in_train,0,0
1,2,pred_E9_v2_clean,all_nan_in_train,0,0
1,2,pred_disponible_E2_v3_clean,zero_variance_in_train,13,1
1,2,pred_disponible_E9_v2_clean,zero_variance_in_train,13,1
1,3,fila_completa_modelos_incluidos,zero_variance_in_train,14,1
1,3,ctx_semana_iso,all_nan_in_train,0,0
1,3,hist_abs_error_mean4_E9_v2_clean,all_nan_in_train,0,0
1,3,hist_caida_hit_mean4_E9_v2_clean,all_nan_in_train,0,0
1,3,hist_dir_acc_mean4_E9_v2_clean,all_nan_in_train,0,0
1,3,hist_loss_local_mean4_E9_v2_clean,all_nan_in_train,0,0
1,3,caida_pred_E9_v2_clean,all_nan_in_train,0,0
1,3,direccion_pred_E9_v2_clean,all_nan_in_train,0,0
1,3,pred_E9_v2_clean,all_nan_in_train,0,0
1,3,pred_disponible_E2_v3_clean,zero_variance_in_train,14,1
1,3,pred_disponible_E9_v2_clean,zero_variance_in_train,14,1
1,4,ctx_semana_iso,all_nan_in_train,0,0
1,4,hist_abs_error_mean4_E9_v2_clean,all_nan_in_train,0,0
1,4,hist_caida_hit_mean4_E9_v2_clean,all_nan_in_train,0,0
1,4,hist_dir_acc_mean4_E9_v2_clean,all_nan_in_train,0,0
1,4,hist_loss_local_mean4_E9_v2_clean,all_nan_in_train,0,0
1,4,caida_pred_E9_v2_clean,zero_variance_in_train,1,1
1,4,direccion_pred_E9_v2_clean,zero_variance_in_train,1,1
1,4,pred_E9_v2_clean,zero_variance_in_train,1,1
1,4,pred_disponible_E2_v3_clean,zero_variance_in_train,15,1
1,5,ctx_semana_iso,all_nan_in_train,0,0
1,5,hist_abs_error_mean4_E9_v2_clean,zero_variance_in_train,1,1
1,5,hist_caida_hit_mean4_E9_v2_clean,all_nan_in_train,0,0
1,5,hist_dir_acc_mean4_E9_v2_clean,zero_variance_in_train,1,1
1,5,hist_loss_local_mean4_E9_v2_clean,zero_variance_in_train,1,1
1,5,caida_pred_E9_v2_clean,zero_variance_in_train,2,1
1,5,direccion_pred_E9_v2_clean,zero_variance_in_train,2,1
1,5,pred_disponible_E2_v3_clean,zero_variance_in_train,16,1
1,6,ctx_semana_iso,all_nan_in_train,0,0
1,6,hist_caida_hit_mean4_E9_v2_clean,zero_variance_in_train,1,1
1,6,pred_disponible_E2_v3_clean,zero_variance_in_train,17,1
1,7,ctx_semana_iso,all_nan_in_train,0,0
1,7,hist_caida_hit_mean4_E9_v2_clean,zero_variance_in_train,2,1
1,7,pred_disponible_E2_v3_clean,zero_variance_in_train,18,1
1,8,ctx_semana_iso,all_nan_in_train,0,0
1,8,hist_caida_hit_mean4_E9_v2_clean,zero_variance_in_train,3,1
1,8,pred_disponible_E2_v3_clean,zero_variance_in_train,19,1
1,9,ctx_semana_iso,all_nan_in_train,0,0
1,9,hist_caida_hit_mean4_E9_v2_clean,zero_variance_in_train,4,1
1,9,pred_disponible_E2_v3_clean,zero_variance_in_train,20,1
1,10,ctx_semana_iso,all_nan_in_train,0,0
1,10,hist_caida_hit_mean4_E9_v2_clean,zero_variance_in_train,5,1
1,10,pred_disponible_E2_v3_clean,zero_variance_in_train,21,1
1,11,ctx_semana_iso,all_nan_in_train,0,0
1,11,hist_caida_hit_mean4_E9_v2_clean,zero_variance_in_train,6,1
1,11,pred_disponible_E2_v3_clean,zero_variance_in_train,22,1
1,12,ctx_semana_iso,all_nan_in_train,0,0
1,12,hist_caida_hit_mean4_E9_v2_clean,zero_variance_in_train,7,1
1,12,pred_disponible_E2_v3_clean,zero_variance_in_train,23,1
1,13,ctx_semana_iso,all_nan_in_train,0,0
1,13,hist_caida_hit_mean4_E9_v2_clean,zero_variance_in_train,8,1
1,13,pred_disponible_E2_v3_clean,zero_variance_in_train,24,1
1,14,ctx_semana_iso,all_nan_in_train,0,0
1,14,hist_caida_hit_mean4_E9_v2_clean,zero_variance_in_train,9,1
1,14,pred_disponible_E2_v3_clean,zero_variance_in_train,25,1
1,15,ctx_semana_iso,all_nan_in_train,0,0
1,15,hist_caida_hit_mean4_E9_v2_clean,zero_variance_in_train,10,1
1,15,pred_disponible_E2_v3_clean,zero_variance_in_train,26,1
1,16,ctx_semana_iso,all_nan_in_train,0,0
1,16,hist_caida_hit_mean4_E9_v2_clean,zero_variance_in_train,11,1
1,16,pred_disponible_E2_v3_clean,zero_variance_in_train,27,1
